timestamp,machine_id,cycle_number,shift,barrel_temp,mold_temp,injection_pressure,holding_pressure,injection_speed,cooling_time,cycle_time,screw_rpm,cushion_size,melt_temp,melt_viscosity,ambient_temp,humidity,temp_gradient,pressure_ratio,cooling_efficiency,machine_health,cycles_since_maintenance,maintenance_event,is_defective,defect_type,length_mm,width_mm,thickness_mm,energy_kwh
2024-01-01 00:01:25,M001,1,3,223.62,41.63,113.93,57.65,57.89,22.58,46.19,93.92,6.25,235.26,308.99,20.2,53.57,182.0,0.506,0.489,99.99,1,0,0,,100.181,50.004,2.991,15.32
2024-01-01 00:02:19,M001,2,3,228.3,40.18,86.71,52.65,93.72,20.68,69.84,138.06,6.09,233.75,372.34,23.77,58.18,188.11,0.607,0.296,99.97,2,0,1,short_shot,99.95,50.119,3.007,15.07
2024-01-01 00:03:21,M001,3,3,222.35,44.93,113.21,68.7,59.13,21.93,57.15,144.78,6.44,234.2,243.92,21.24,60.73,177.42,0.607,0.384,99.94,3,0,1,burn_marks,100.172,49.714,3.303,16.15
2024-01-01 00:04:42,M001,4,3,223.56,49.33,120.68,73.35,82.98,21.43,71.26,105.34,7.99,237.37,227.67,22.94,60.23,174.23,0.608,0.301,99.89,4,0,0,,100.034,50.024,2.983,15.72
2024-01-01 00:05:51,M001,5,3,233.77,59.59,111.85,61.89,77.95,16.67,64.56,111.76,7.77,240.39,375.17,20.63,50.02,174.18,0.553,0.258,99.87,5,0,1,flow_lines,100.289,49.816,2.868,15.52
2024-01-01 00:06:45,M001,6,3,232.56,55.58,112.65,76.12,87.0,19.61,47.61,141.46,7.73,243.4,217.13,22.86,32.77,176.98,0.676,0.412,99.84,6,0,0,,100.005,49.974,2.963,16.25
2024-01-01 00:07:46,M001,7,3,228.29,43.24,95.39,60.09,68.31,22.76,50.45,95.73,4.69,247.36,317.66,20.3,38.81,185.06,0.63,0.451,99.81,7,0,1,sink_marks,100.143,50.646,3.037,14.87
2024-01-01 00:08:46,M001,8,3,222.24,41.91,119.38,64.24,52.1,21.47,64.06,112.69,6.65,226.92,334.67,27.84,33.94,180.33,0.538,0.335,99.79,8,0,0,,99.894,50.084,3.0,16.26
2024-01-01 00:09:59,M001,9,3,221.84,46.04,115.4,80.76,87.21,29.53,86.69,139.41,3.83,231.54,297.13,20.14,46.04,175.8,0.7,0.341,99.78,9,0,1,flash,100.391,49.978,3.035,15.54
2024-01-01 00:11:11,M001,10,3,240.86,52.16,115.21,70.1,83.03,15.86,71.29,115.2,7.26,250.08,231.49,27.61,33.2,188.7,0.608,0.222,99.74,10,0,1,warping,99.834,49.804,3.23,17.13
